epoch,train_loss,val_loss,train_nll,train_kl,val_nll,val_kl
1,0.2760035116225481,0.26044004410505295,0.2760035116225481,0.0,0.26044004410505295,0.0
2,0.25272608175873756,0.2381276935338974,0.25272608175873756,0.0,0.2381276935338974,0.0
3,0.23032821156084538,0.22517801076173782,0.23032821156084538,0.0,0.22517801076173782,0.0
4,0.21798498090356588,0.2172500118613243,0.21798498090356588,0.0,0.2172500118613243,0.0
5,0.20781895518302917,0.21013157069683075,0.20781895518302917,0.0,0.21013157069683075,0.0
6,0.19812149461358786,0.1994755081832409,0.19812149461358786,0.0,0.1994755081832409,0.0
7,0.1901179924607277,0.1973961740732193,0.1901179924607277,0.0,0.1973961740732193,0.0
8,0.18253286369144917,0.1884416937828064,0.18253286369144917,0.0,0.1884416937828064,0.0
9,0.17417121957987547,0.17951282113790512,0.17417121957987547,0.0,0.17951282113790512,0.0
10,0.16739834938198328,0.1741708666086197,0.16739834938198328,0.0,0.1741708666086197,0.0
11,0.16252354811877012,0.16776695474982262,0.16252354811877012,0.0,0.16776695474982262,0.0
12,0.15847675781697035,0.16459908336400986,0.15847675781697035,0.0,0.16459908336400986,0.0
13,0.1527079213410616,0.16234642267227173,0.1527079213410616,0.0,0.16234642267227173,0.0
14,0.1474218675866723,0.15644200518727303,0.1474218675866723,0.0,0.15644200518727303,0.0
15,0.1436932533979416,0.1557985581457615,0.1436932533979416,0.0,0.1557985581457615,0.0
16,0.1403451794758439,0.15023551136255264,0.1403451794758439,0.0,0.15023551136255264,0.0
17,0.13672490790486336,0.14906441420316696,0.13672490790486336,0.0,0.14906441420316696,0.0
18,0.13375899754464626,0.1459738276898861,0.13375899754464626,0.0,0.1459738276898861,0.0
19,0.12977841217070818,0.1427367776632309,0.12977841217070818,0.0,0.1427367776632309,0.0
20,0.1263082572259009,0.1413881555199623,0.1263082572259009,0.0,0.1413881555199623,0.0
