Method,RMSE (Observed),NLL (Observed),ELBO (Observed),RMSE (Missing),NLL (Missing),ELBO (Missing),Latent KS,Coverage (Overall),Coverage (Observed),Coverage (Missing),Uncertainty-Error Corr (Observed),Uncertainty-Error Corr (Missing),Training Time,Latent Log Prob
MICE_Imputation_0.3_2,0.0,-2184.5924,N,1.0232,20498.0661,N,N,N,N,N,N,N,N,
Posterior_Consistency_0.3_2,0.0667,-1316.3989,-17047.7769,0.6055,11880.8741,-30245.0498,N,0.9487,0.9923,0.8487,-0.1129,0.3679,64.5472,-12.09181772214513
GP_VAE0_0.5_0_alpha_1.0_beta_0.01_lr_0.0005_noise_std_0.1_noise_sigma_0.01,0.0254,-1552.4787,-234412.3494,0.8271,51300.1081,-287264.9362,N,0.8548,0.7237,0.9878,0.2018,0.0142,141.8646,-12.327152595344593
GP_VAE1_0.5_0_alpha_1.0_beta_0.001_lr_0.0005_noise_std_0.1_noise_sigma_0.001,0.0118,-1572.8987,-338908.6638,0.8652,33813.2254,-374294.7879,N,0.8907,0.8967,0.8845,0.3468,-0.0214,141.8646,-10.035595760170033
Mean_Imputation_0.5_0,0.0,-1579.5426,N,1.0175,33138.0278,N,N,N,N,N,N,N,N,
KNN_Imputation_0.5_0,0.0,-1579.5426,N,1.0174,33130.1038,N,N,N,N,N,N,N,N,
MICE_Imputation_0.5_0,0.0,-1579.5426,N,1.0174,33130.1038,N,N,N,N,N,N,N,N,
Posterior_Consistency_0.5_0,0.0862,-882.1593,-12808.1073,0.7407,29622.8729,-43313.1395,N,0.9097,0.9548,0.8639,-0.2966,0.3609,83.7463,-12.587464198890736
GP_VAE0_0.5_1_alpha_1.0_beta_0.01_lr_0.0005_noise_std_0.1_noise_sigma_0.01,0.0189,-1548.4474,-190494.6151,0.8326,51437.4374,-243480.4999,N,0.9624,0.9411,0.9837,0.2008,0.0384,145.8212,-11.562646255317738
GP_VAE1_0.5_1_alpha_1.0_beta_0.001_lr_0.0005_noise_std_0.1_noise_sigma_0.001,0.0145,-1558.3952,-171027.9329,0.7945,27075.449,-199661.7771,N,0.9176,0.9768,0.8584,0.2664,0.041,145.8212,-8.249993667427113
Mean_Imputation_0.5_1,0.0,-1569.7837,N,1.019,33446.3902,N,N,N,N,N,N,N,N,
KNN_Imputation_0.5_1,0.0,-1569.7837,N,1.0192,33460.2178,N,N,N,N,N,N,N,N,
MICE_Imputation_0.5_1,0.0,-1569.7837,N,1.0192,33460.2178,N,N,N,N,N,N,N,N,
Posterior_Consistency_0.5_1,0.0821,-927.8806,-12847.0667,0.7401,32392.1299,-46167.0771,N,0.9082,0.9571,0.8593,-0.3016,0.3571,120.9002,-12.588059768501331
GP_VAE0_0.5_2_alpha_1.0_beta_0.01_lr_0.0005_noise_std_0.1_noise_sigma_0.01,0.0184,-1550.3088,-225427.4099,0.8782,64104.7883,-291082.507,N,0.9464,0.8993,0.9935,0.2266,0.0027,201.0689,-12.271664962593128
GP_VAE1_0.5_2_alpha_1.0_beta_0.001_lr_0.0005_noise_std_0.1_noise_sigma_0.001,0.0117,-1559.2965,-247834.1253,0.8628,32589.06,-281982.4819,N,0.907,0.9527,0.8613,0.1883,-0.0593,201.0689,-10.136327133003284
Mean_Imputation_0.5_2,0.0,-1567.2278,N,1.0311,34337.8591,N,N,N,N,N,N,N,N,
KNN_Imputation_0.5_2,0.0,-1567.2278,N,1.0299,34258.5714,N,N,N,N,N,N,N,N,
MICE_Imputation_0.5_2,0.0,-1567.2278,N,1.0299,34258.5714,N,N,N,N,N,N,N,N,
Posterior_Consistency_0.5_2,0.0798,-906.0658,-12811.1422,0.7529,31905.8966,-45623.1046,N,0.9043,0.958,0.8506,-0.3055,0.3766,98.1597,-12.576868400398304
GP_VAE0_0.7_0_alpha_1.0_beta_0.01_lr_0.0005_noise_std_0.1_noise_sigma_0.01,0.0241,-939.051,-208090.9177,0.9334,78682.5388,-287712.5076,N,0.9184,0.7905,0.9743,0.2635,-0.0114,163.4223,-13.206828460517933
GP_VAE1_0.7_0_alpha_1.0_beta_0.001_lr_0.0005_noise_std_0.1_noise_sigma_0.001,0.0169,-945.005,-157277.2919,0.9628,52363.2393,-210585.5362,N,0.8199,0.8911,0.7888,0.1505,0.061,163.4223,-10.51665435773473
Mean_Imputation_0.7_0,0.0,-953.8132,N,1.0246,47136.3236,N,N,N,N,N,N,N,N,
KNN_Imputation_0.7_0,0.0,-953.8132,N,1.0241,47083.3282,N,N,N,N,N,N,N,N,
MICE_Imputation_0.7_0,0.0,-953.8132,N,1.0241,47083.3282,N,N,N,N,N,N,N,N,
Posterior_Consistency_0.7_0,0.0635,-617.0752,-8233.7197,0.9047,70863.3676,-79714.1625,N,0.9178,0.9978,0.8828,-0.0126,0.2889,100.403,-13.497492656532337
GP_VAE0_0.7_1_alpha_1.0_beta_0.01_lr_0.0005_noise_std_0.1_noise_sigma_0.01,0.0289,-906.5461,-236261.6414,0.9372,73334.659,-310502.8465,N,0.8707,0.6588,0.9593,0.2028,-0.0227,102.4076,-12.614694938484242
GP_VAE1_0.7_1_alpha_1.0_beta_0.001_lr_0.0005_noise_std_0.1_noise_sigma_0.001,0.0135,-920.5214,-252888.9317,0.9107,51104.9894,-304914.4426,N,0.8591,0.8531,0.8616,0.1859,0.0207,102.4076,-12.312980995002796
Mean_Imputation_0.7_1,0.0,-925.466,N,1.024,47682.5169,N,N,N,N,N,N,N,N,
KNN_Imputation_0.7_1,0.0,-925.466,N,1.0241,47694.0189,N,N,N,N,N,N,N,N,
MICE_Imputation_0.7_1,0.0,-925.466,N,1.0241,47694.0189,N,N,N,N,N,N,N,N,
Posterior_Consistency_0.7_1,0.0653,-582.2556,-7911.9114,0.9065,70309.0658,-78803.2328,N,0.913,0.9812,0.8844,-0.3029,0.2963,110.372,-13.218105659309437
GP_VAE0_0.7_2_alpha_1.0_beta_0.01_lr_0.0005_noise_std_0.1_noise_sigma_0.01,0.018,-931.0585,-218657.5665,0.9186,80402.0801,-299990.7051,N,0.9678,0.9415,0.979,-0.0592,-0.0125,197.34,-13.215860709968617
GP_VAE1_0.7_2_alpha_1.0_beta_0.001_lr_0.0005_noise_std_0.1_noise_sigma_0.001,0.0236,-927.7388,-212975.0112,0.9633,52231.5431,-266134.2931,N,0.7669,0.7226,0.7858,-0.1239,-0.0411,197.34,-12.126577720466663
Mean_Imputation_0.7_2,0.0,-940.8014,N,1.0249,47439.829,N,N,N,N,N,N,N,N,
KNN_Imputation_0.7_2,0.0,-940.8014,N,1.0246,47414.461,N,N,N,N,N,N,N,N,
MICE_Imputation_0.7_2,0.0,-940.8014,N,1.0246,47414.461,N,N,N,N,N,N,N,N,
Posterior_Consistency_0.7_2,0.0567,-623.2523,-8175.6481,0.9108,71360.5618,-80159.4622,N,0.917,0.9998,0.8815,-0.0919,0.2839,135.4457,-13.34564195615392
